questions,keywords,lang
Который страны иметь Больше чем два официальный языки? ,"страна ,  официальный язык ,  Больше чем два ",ru
Qual paises ter Mais do que dois oficial línguas? ,"país ,  oficial língua ,  Mais do que dois ",pt
Which countries have more than two official languages?,"country, official language, more than two",en
कौन कौन से देशों है अधिक से दो आधिकारिक भाषाओं? ,"देश ,  आधिकारिक भाषा ,  अधिक से दो ",hi_IN
چه کشورهایی بیش از دو زبان رسمی دارند؟,کشورهایی، بیش از دو، زبان رسمی,fa
Quali stati hanno più di due lingue ufficiali?,"stato, lingua ufficiale, più di due",it
Quels pays ont plus de deux langues officielles?,"pays, langues officielles, plus de deux",fr
Ce țări au mai mult de două limbi oficiale?,"țară, limbă oficială, mai mult de două",ro
¿Qué países tienes más de dos lenguas oficiales?,"país, lengua oficial, más de dos",es
Welke landen hebben meer dan twee officiële talen?,"land, officiële taal, meer dan twee",nl
In welchen Ländern gibt es mehr als zehn Höhlen?,"Land, Höhle, mehr als zehn",de
Который страны иметь Больше чем 10 пещеры? ,"страна ,  пещера ,  Больше чем 10 ",ru
Qual paises ter Mais do que dez cavernas? ,"país ,  caverna ,  Mais do que dez ",pt
Which countries have more than ten caves?,"country, cave, more than ten",en
कौन कौन से देशों है अधिक से दस गुफाओं? ,"देश ,  गुफा ,  अधिक से दस ",hi_IN
چه کشورهایی بیشتر از ده غار دارند؟,کشور، بیشتر از ده، غار,fa
Quali nazioni hanno più di dieci grotte?,"nazione, grotta, più di dieci",it
Quels pays ont plus de dix grottes?,"pays, grottes, plus de dix",fr
Ce țări au mai mult de zece peșteri?,"țară, peșteră, mai mult de zece",ro
¿Qué países tienen más de diez cuevas?,"país, cuevas, más de diez",es
Welke landen hebben meer dan tien grotten?,"land, grotten, meer dan tien",nl
"Zeige mir alle Lieder von Bruce Springsteen, die zwischen 1980 und 1990 herausgebracht wurden.","Lied, Bruce Springsteen, herausbringen, zwischen 1980 und 1990",de
Показать меня все песни из Брюс Спрингстин выпущенный между 1980 а также 1990. ,"песня ,  Брюс Спрингстин ,  выпуск ,  между 1980 а также 1990 ",ru
exposição mim todos canções a partir de Bruce Springsteen liberado entre 1980 e 1990. ,"canção ,  Bruce Springsteen ,  lançamento ,  entre 1980 e 1990 ",pt
Show me all songs from Bruce Springsteen released between 1980 and 1990.,"song, Bruce Springsteen, release, between 1980 and 1990",en
प्रदर्शन मुझे सब गीत से ब्रूस स्प्रिंगस्टीन रिहा के बीच 1980 तथा 1990। ,"गाना ,  ब्रूस स्प्रिंगस्टीन ,  रिहाई ,  के बीच 1980 तथा 1990 ",hi_IN
تمام آهنگ های اثر بروس اسپرینگستین را که بین 1980 و 1990 منتشر شدند را لیست کن.,آهنگ های، بروس اسپرینگستین، بین 1980 و 1990، منتشر,fa
Dammi tutte le canzoni di Bruce Springsteen rilasciate tra il 1980 e il 1990.,"canzone, Bruce Springsteen, rilasciare, tra il 1980 e il 1990",it
Donnes-moi tous les morceaux de Bruce Springsteen qui ont été publiés entre 1980 et 1990.,"morceaux, Bruce Springsteen, publiés entre 1980 et 1990",fr
Arată-mi toate melodiile de Bruce Springsten apărute între 1980 și 1990,"melodie, Bruce Springsteen, apărut, între 1980 și 1990",ro
¿Enseñame todas las canciones de Bruce Springsteen que aparecieron entre 1980 y 1990.,"canción, Bruce Springsteen, aparecida entre 1980 y 1990",es
Geef alle songs van Bruce Springsteen die werden uitgebracht tussen 1980 en 1990.,"song, Bruce Springsteen, uitgebracht tussen 1980 en 1990",nl
Welche Fernsehserien hat John Cleese entworfen?,"Fernsehserie, entwerfen, John Cleese",de
Который телевидение шоу мы созданный от Джон Клиз? ,"телевидение показать ,  Создайте ,  Джон Клиз ",ru
Qual televisão mostra estavam criada de John Cleese? ,"televisão exposição ,  crio ,  John Cleese ",pt
Which television shows were created by John Cleese?,"television show, create, John Cleese",en
कौन कौन से टेलीविजन दिखाता है थे बनाया था द्वारा जॉन Cleese? ,"टेलीविजन प्रदर्शन ,  सर्जन करना ,  जॉन Cleese ",hi_IN
چه نمایش های تلویزیونی توسط جان کلیز ساخته شدند؟,نمایش های تلویزیونی، جان کلیز، ساخته,fa
Quali serie televisive sono state create dalla John Cleese?,"serie televisiva, ideata, John Cleese?",it
Quelles séries télevisées ont été créées par John Cleese?,"séries télevisées, créées, John Cleese",fr
Ce seriale de televiziune au fost create de John Cleese?,"serial de televiziune, creat, John Cleese",ro
¿Qué series televisivas ideó John Cleese?,"serie televisica, ideó, John Cleese",es
Welke televisieseries werden bedacht door John Cleese?,"televisieserie, bedacht, John Cleese",nl
Wann ist Lettland der EU beigetreten?,"Lettland, beitreten, EU",de
когда сделал Латвия присоединиться  США? ,"Латвия ,  присоединиться ,  США ",ru
Quando fez Letônia Junte-se a EU? ,"Letônia ,  Junte-se ,  EU ",pt
When did Latvia join the EU?,"Latvia, join, EU",en
कब किया लातविया में शामिल होने के  अमेरिका? ,"लातविया ,  में शामिल होने के ,  अमेरिका ",hi_IN
لتونی کی به اتحادیه اروپا پیوست؟,لتونی، اتحادیه اروپا، پیوست,fa
Quando la Lettonia è entrata nell'Unione Europea?,"Lettonia, entrare, Unione Europea",it
Quand est la Lettonie devenue membre de l'Union européene?,"Lettonie, membre, Union européene",fr
Când a aderat Letonia la Uniunea Europeană?,"Letonia, adera, Uniunea Europeană",ro
¿Cuándo ingresó Letonia a la unión europea?,"Letonia, ingreso, unión europea",es
Wanneer trad Letland toe tot de EU?,"Letland, toetreden, EU",nl
Welche Fußballer wurden auf Malta geboren?,"Fußballer, geboren auf, Malta",de
Который футбольный игроки мы Родился на Мальта? ,"футбольный игрок ,  Родился на ,  Мальта ",ru
Qual futebol jogadoras estavam nascermos em Malta? ,"futebol jogador ,  nascermos em ,  Malta ",pt
Which soccer players were born on Malta?,"soccer player, born on, Malta",en
कौन कौन से फुटबॉल खिलाड़ियों थे उत्पन्न होने वाली पर माल्टा? ,"फुटबॉल खिलाड़ी ,  उत्पन्न होने वाली पर ,  माल्टा ",hi_IN
چه بازیکنان فوتبالی در مالت متولد شدند؟,بازیکنان فوتبالی، مالت، متولد,fa
Quali calciatori sono nati a Malta?,"calciatori, nati, Malta",it
Quels joueurs de football sont nés à Malta?,"joueurs de football, né à Malta",fr
Ce jucători de fotbal s-au născut în Malta?,"jucător de fotbal, născut, Malta",ro
¿Que jugadores de futbol han nacido en Malta?,"jugadores de futbol, nacidos, Malta",es
Welke voetballers zijn op Malta geboren?,"voetballers, geboren op, Malta",nl
Wieviele Politiker haben einen Abschluss von der Columbia University?,"wieviele, Politiker, Abschluss, Columbia University",de
Как многие политики закончил из Колумбия Университет? ,"как многие ,  политики ,  закончил ,  Колумбия Университет ",ru
Como muitos políticos graduado a partir de Columbia Universidade? ,"como muitos ,  políticos ,  graduado ,  Columbia Universidade ",pt
How many politicians graduated from Columbia University?,"how many, politicians, graduated, Columbia University",en
किस तरह अनेक राजनेताओं स्नातक की उपाधि प्राप्त से कोलंबिया विश्वविद्यालय? ,"किस तरह अनेक ,  राजनेताओं ,  स्नातक की उपाधि प्राप्त ,  कोलंबिया विश्वविद्यालय ",hi_IN
چه تعداد سیاستمدار از دانشگاه کلمبیا فارغ التحصیل شدند؟,تعداد، سیاستمدار، دانشگاه کلمبیا، فارغ التحصیل,fa
Quanti politici si sono laureati alla Columbia University?,"quanti, politici, laureati, Columbia University",it
Combien d'hommes politiques ont étudié à la Columbia University?,"nombre, hommes politiques, étudier, Columbia University",fr
Câți politicieni au absolvit la Universitatea Columbia?,"câți, politicieni, absolvit, Universitatea Columbia?",ro
¿Cuántos políticos se han graduado en la universidad de Columbia?,"cuántos, políticos, graduados, universidad de Columbia",es
Hoeveel politici zijn aan de Columbia University afgestudeerd?,"hoeveel, politici afgestudeert aan, Columbia University",nl
Gib mir die Geburtstage von allen Darstellern der Fernsehserie Charmed.,"Fernsehserie, Charmed, Darsteller, Geburtstag",de
Дайте меня  дни рождения из все актеры из  телевидение показать Зачарованные. ,"телевидение показать ,  Зачарованные ,  актер ,  день рождения ",ru
Dar mim a aniversários do todos atores do a televisão exposição Encantado. ,"televisão exposição ,  Encantado ,  ator ,  aniversário ",pt
Give me the birthdays of all actors of the television show Charmed.,"television show, Charmed, actor, birthday",en
देना मुझे  जनमदि की का सब अभिनेताओं का  टेलीविजन प्रदर्शन मन प्रसन्न कर दिया. ,"टेलीविजन प्रदर्शन ,  मन प्रसन्न कर दिया ,  अभिनेता ,  जन्मदिन ",hi_IN
